source,target,coef_abs
nfixa,epha4b,0.016958611
thrab,agrn,0.016946713
emx1,ncl,0.016918745
irx6a,hmga1a,0.016912114
en2a,marcksl1a,0.016886508
hoxa4a,pcna,0.016864652
nkx1.2lb,tenm4,0.01686019
sox11b,serbp1a,0.016857939
nr2e1,hmga1a,0.016838936
etv4,pax3a,0.016835496
barhl1b,hmga1a,0.016830096
dmrt3a,fthl27,0.016829178
bcl11aa,tenm4,0.01681521
en1b,mdkb,0.01680464
rx3,sox11a,0.016803088
egr2a,ccnd1,0.016785996
sox11b,ube2c,0.016784051
pax6b,stmn1a,0.016770752
hmga1a,vim,0.0167538
hoxa2b,hspe1,0.016743785
hoxb5b,hmga1a,0.016740544
sox11b,aspm,0.016727097
rorb,mibp2,0.016725842
mnx2b,stmn1a,0.016691133
vsx1,hspa8,0.01667834
six1b,emp2,0.016665868
zic2a,boc,0.01665589
sox11b,actc1b,0.0166437
noto,ncl,0.016634448
rxraa,mibp2,0.016623074
vax2,cirbpa,0.016621234
mafa,marcksl1a,0.016615855
tfap2d,cpox,0.016612988
twist2,krt18a.1,0.016602032
barhl1b,npm1a,0.01658724
ascl1a,apoc1,0.016583305
nfixa,fabp7a,0.016581845
foxf2b,npm1a,0.016578455
dlx2a,hspa8,0.016575783
irx7,cntfr,0.01655175
foxd1,bcas2,0.016543321
hoxb6a,ncl,0.01651666
sox11a,prmt1,0.016516231
nr2f1b,hspa8,0.016509354
cebpa,robo1,0.016503235
tp53,cdon,0.016463542
ebf3a,tuba8l3,0.0164604
foxa1,serbp1a,0.016447281
nkx2.3,hspe1,0.016445685
gsx1,stmn1a,0.016444275
irx7,prmt1,0.016443823
ebf3a,twist1a,0.016427103
barhl1b,eif5a2,0.016386455
meis2a,hbae1.3,0.016381705
foxf2b,prmt1,0.016376391
foxa,hmga1a,0.016374199
hoxa4a,hmgb2a,0.016370047
hmga1a,sfrp5,0.016369255
dlx5a,hspa8,0.016348504
six3b,hspa8,0.016342357
hoxb5b,mibp2,0.016340893
foxd1,hspa8,0.016335374
hoxa4a,hmgn2,0.016327417
sox11a,tmsb,0.016308876
hoxa2b,eif5a2,0.0163022
phox2bb,sox11a,0.016295202
foxd1,nop56,0.016291557
lhx9,cirbpa,0.01628232
mitfa,fabp11a,0.016280193
lbx1b,mibp2,0.016275413
sox21a,mki67,0.016240487
foxo1a,cntfr,0.016230486
sox7,actc1b,0.016229035
her9,eif5a2,0.016198976
egr2b,agrn,0.016193846
foxg1a,ptmaa,0.016181905
pax6b,ncl,0.016164178
en2b,pcdh19,0.016163882
mafa,hbae1.3,0.016162641
foxg1a,cxcl12a,0.016161483
raraa,hbae1.1,0.016155167
arxb,efna2a,0.016137995
sox11a,hapln1a,0.016130459
shox2,mdkb,0.01612296
hmx4,pcna,0.01612249
en2a,dkc1,0.016117062
foxg1a,hbae1.1,0.016115472
lhx2b,ptprfb,0.016078113
nkx2.4b,hspe1,0.01607597
phox2bb,mki67,0.016055245
otpb,mdkb,0.016050259
twist1a,nop56,0.01603387
phox2bb,prmt1,0.016014673
phox2a,marcksl1a,0.01600849
jun,cirbpa,0.016001873
zic3,boc,0.01600135
zic1,npm1a,0.015999278
foxa,mki67,0.015994584
nr2e1,her9,0.015992783
emx2,serbp1a,0.015991244
gsx2,fabp7a,0.015980743
foxd1,nop58,0.015972018
fli1a,krt18a.1,0.015966175
sox11b,top2a,0.015943829
hoxa4a,hspa8,0.015939377
six3b,eif5a2,0.015933098
thrab,fabp11a,0.015928097
egr2b,hmgn2,0.015919304
atoh1a,cirbpa,0.015919287
rorb,fabp11a,0.01591532
twist1a,npm1a,0.01589595
sox10,cdon,0.015884398
en1b,hspa8,0.015880615
tbx5b,hmga1a,0.015878014
tbx5b,cdon,0.015865022
cebpa,pabpc1a,0.015857216
dlx3b,dkc1,0.015803717
ebf1b,tuba8l3,0.015785169
tp53,fth1a,0.01578139
nkx2.7,robo1,0.015774872
foxd1,dkc1,0.015761305
sox21a,ptmaa,0.015752928
nr5a1b,ptmaa,0.015743071
nkx2.3,fabp7a,0.015740152
barx1,pa2g4a,0.015729114
barx1,nap1l1,0.015727839
pknox2,mibp2,0.01572704
six3b,hmgb2a,0.015726687
rx1,c1qbp,0.015716206
rorb,stmn1a,0.015713241
lmx1bb,ptprfb,0.015709965
rxraa,greb1l,0.015702244
tfap2a,her9,0.015686661
isl2a,fabp7a,0.01567586
rx1,metap2b,0.015670775
en2b,cntfr,0.015645565
dlx5a,nop56,0.015645066
tbx1,tpm4a,0.015640926
meis3,cdh6,0.01562206
dlx2a,dkc1,0.015616784
meox1,marcksl1a,0.015616096
barx1,hmgb2a,0.015603135
