"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"actc1b",6,6,0,0,0,0.0142857142857143,0.0142857142857143,0,0,NA,0.0633114749866103,0.00285399911387227,-0.102579097071177,0.0516736331281503,1,2,-0.296802007603321,0.666666666666667,"Connector"
"hmgn2",18,18,0,0.0784313725490196,0.164596634306155,0.0428571428571429,0.0428571428571429,0,0,NA,0.251716018466254,0.0037078116297099,-0.102579097071177,0.0516736331281503,1,5,0.243824690334894,0.37037037037037,"Peripheral"
"eef1a1l1",22,22,0,0.0606060606060606,0.128404354481708,0.0523809523809524,0.0523809523809524,0,0,NA,0.24447446823731,0.00316793647875598,-0.102579097071177,0.0516736331281503,1,5,0.888058734522504,0.165289256198347,"Peripheral"
"rps20",24,24,0,0.0072463768115942,0.00966220013210266,0.0571428571428571,0.0571428571428571,0,0,NA,0.225076559037612,0.00351327836004103,-0.102579097071177,0.0516736331281503,1,5,0.243824690334894,0.600694444444444,"Peripheral"
"tuba8l4",29,29,0,0.0467980295566502,0.0944368347863192,0.0690476190476191,0.0690476190476191,0,0,NA,0.260094436562553,0.00377004702698645,-0.102579097071177,0.0516736331281503,1,5,0.888058734522504,0.489892984542212,"Peripheral"
"tubb2b",18,18,0,0.065359477124183,0.136145183651027,0.0428571428571429,0.0428571428571429,0,0,NA,0.216770300999755,0.00288179282106814,-0.102579097071177,0.0516736331281503,1,5,0.0290800089390242,0.512345679012346,"Peripheral"
"hmgb2a",21,21,0,0.0476190476190476,0.0965322303908964,0.05,0.05,0,0,NA,0.224952354047095,0.00337090818026688,-0.102579097071177,0.0516736331281503,1,5,0.0290800089390242,0.607709750566893,"Peripheral"
"cirbpa",28,28,0,0.00793650793650794,0.00893750661801785,0.0666666666666667,0.0666666666666667,0,0,NA,0.240840006311209,0.00432890421315124,-0.102579097071177,0.0516736331281503,1,5,0.458569371730764,0.60969387755102,"Peripheral"
"rpl24",14,14,0,0.10989010989011,0.203818834560204,0.0333333333333333,0.0333333333333333,0,0,NA,0.194739193663836,0.00230869030387853,-0.102579097071177,0.0516736331281503,2,5,0.0290800089390242,0.255102040816326,"Peripheral"
"ptmab",25,25,0,0.0433333333333333,0.0855264928536317,0.0595238095238095,0.0595238095238095,0,0,NA,0.220855957045004,0.00344457584857213,-0.102579097071177,0.0516736331281503,1,5,0.673314053126634,0.4512,"Peripheral"
"rpsa",24,24,0,0.0036231884057971,0.00344091944634685,0.0571428571428571,0.0571428571428571,0,0,NA,0.19520298687249,0.00396740974519433,-0.102579097071177,0.0516736331281503,1,5,0.458569371730764,0.517361111111111,"Peripheral"
"fabp7a",23,23,0,0.00790513833992095,0.0116972440053021,0.0547619047619048,0.0547619047619048,0,0,NA,0.148047259705976,0.00933012282162405,-0.102579097071177,0.0516736331281503,1,0,3.05927673367897,0.570888468809074,"Connector Hub"
"prmt1",13,13,0,0.115384615384615,0.195233459153431,0.030952380952381,0.030952380952381,0,0,NA,0.18791765025603,0.00282092345776525,-0.102579097071177,0.0516736331281503,1,4,-0.228596876764554,0.686390532544379,"Connector"
"ncl",21,21,0,0.0285714285714286,0.0589538733484651,0.05,0.05,0,0,NA,0.155147200210541,0.0058896306449415,-0.102579097071177,0.0516736331281503,1,0,2.11188780970097,0.648526077097506,"Connector"
"mcm2",8,8,0,0,0,0.019047619047619,0.019047619047619,0,0,NA,0.0730053606282969,0.00253268213498522,-0.102579097071177,0.0516736331281503,1,4,-3.96155816289789e-16,0.59375,"Peripheral"
"si:ch73-281n10.2",15,15,0,0.133333333333333,0.241658295099436,0.0357142857142857,0.0357142857142857,0,0,NA,0.182125792920101,0.00258040641753758,-0.102579097071177,0.0516736331281503,1,5,-0.185664672456846,0.524444444444444,"Peripheral"
"snu13b",16,16,0,0,0,0.0380952380952381,0.0380952380952381,0,0,NA,0.115490889400351,0.00483218964384312,-0.102579097071177,0.0516736331281503,1,0,0.848702577730295,0.6015625,"Peripheral"
"id1",21,21,0,0.0238095238095238,0.0222287204514591,0.05,0.05,0,0,NA,0.104604224182878,0.00698268756617471,-0.102579097071177,0.0516736331281503,1,2,1.67267488005903,0.653061224489796,"Connector"
"hmgb1b",31,31,0,0.021505376344086,0.0387516839179822,0.0738095238095238,0.0738095238095238,0,0,NA,0.191545571502344,0.00937557473698557,-0.102579097071177,0.0516736331281503,1,4,2.51456564441009,0.647242455775234,"Connector Hub"
"serbp1a",32,32,0,0.00604838709677419,0.00757114640043611,0.0761904761904762,0.0761904761904762,0,0,NA,0.18840453497035,0.00649804078010636,-0.102579097071177,0.0516736331281503,1,4,1.60017813735187,0.71484375,"Connector"
"epha4b",10,10,0,0,0,0.0238095238095238,0.0238095238095238,0,0,NA,0.0188585383836513,0.0050775735245998,-0.102579097071177,0.0516736331281503,2,2,0.687936436227854,0.46,"Peripheral"
"dkc1",9,9,0,0.138888888888889,0.262125545878032,0.0214285714285714,0.0214285714285714,0,0,NA,0.153503775516976,0.00253106847062582,-0.102579097071177,0.0516736331281503,1,5,-0.507781694550651,0.37037037037037,"Peripheral"
"pcna",30,30,0,0.00919540229885057,0.0100362836255544,0.0714285714285714,0.0714285714285714,0,0,NA,0.187249969706132,0.00579901639449645,-0.102579097071177,0.0516736331281503,1,2,1.42649026910124,0.651111111111111,"Connector"
"efna2a",3,3,0,0,0,0.00714285714285714,0.00714285714285714,0,0,NA,0.024007297289159,0.00199825133132192,-0.102579097071177,0.0516736331281503,2,2,-0.542986618561115,0.444444444444445,"Peripheral"
"hspa8",27,27,0,0.00284900284900285,0.00427147360580624,0.0642857142857143,0.0642857142857143,0,0,NA,0.219211060796218,0.00388420478342077,-0.102579097071177,0.0516736331281503,1,5,0.995431075220439,0.37037037037037,"Peripheral"
