,source,target,coef_mean,coef_abs,p,-logp
15502,foxd3,usp13,6.6560715e-06,6.6560715e-06,0.9307401575076677,0.03117154770984888
15503,gfi1ab,usp13,4.5162033e-05,4.5162033e-05,0.4497930433480579,0.3469872657943719
15504,rxraa,usp13,0.00051679375,0.00051679375,2.7495841789166862e-05,4.560732979790291
15505,vax2,usp13,0.0007127872,0.0007127872,2.9619539813316295e-06,5.5284216932182515
15506,evx2,usp13,-0.000105244355,0.000105244355,0.12836851972166988,0.8915414668233356
15507,pax6b,usp13,0.0013515488,0.0013515488,8.309911501548536e-09,8.080403601317428
15508,foxd1,usp13,-0.00043030802,0.00043030802,1.8539404314123153e-05,4.7319042241961276
15509,gfi1aa,usp13,0.001129026,0.001129026,3.4519956669417817e-10,9.461929758097169
15510,rarga,usp13,0.000101151076,0.000101151076,0.44387860284185765,0.35273578962586666
15511,msx3,usp13,4.9132635e-05,4.9132635e-05,0.5446851654395677,0.2638544526238175
15512,sox10,usp13,0.0010436744,0.0010436744,6.428468897528545e-11,10.191892452975553
15513,lhx5,usp13,0.000489431,0.000489431,4.878347224808974e-07,6.311727291260554
15514,nkx1.2la,usp13,0.0003350475,0.0003350475,9.448968320643854e-05,4.024615607058012
15515,dlx1a,usp13,-0.00012610847,0.00012610847,0.009768360060496969,2.0101783407293268
15516,phox2bb,usp13,-0.00013809616,0.00013809616,0.033222767271362245,1.4785641960679747
15517,lmx1a,usp13,5.7584508e-05,5.7584508e-05,0.31734631005901537,0.49846654707532734
15518,sox11a,usp13,0.0008302508,0.0008302508,0.0002435180131878466,3.6134689082122264
15519,gata6,usp13,0.00061800104,0.00061800104,4.65532174272467e-05,4.332050298299997
15520,msx2b,usp13,0.0007049454,0.0007049454,7.190502656618565e-12,11.14324074892653
15521,otpb,usp13,3.7804028e-05,3.7804028e-05,0.5041987526853449,0.2973982330398624
15522,mnx2a,usp13,0.00011950443,0.00011950443,0.24305463369262392,0.6142960949434617
15523,barhl2,usp13,0.0001878356,0.0001878356,0.0008176662315907891,3.0874239375990125
15524,rx3,usp13,0.0003732286,0.0003732286,2.040282512200513e-05,4.690309692870744
15525,ved,usp13,0.0003587077,0.0003587077,0.0019260241116489025,2.715338280300518
15526,en2b,usp13,-7.6866505e-05,7.6866505e-05,0.6104159262375466,0.21437414381652398
15527,six1b,usp13,-5.239099e-05,5.239099e-05,0.4600629082329668,0.33718277955654485
15528,pax6a,usp13,0.0011116045,0.0011116045,2.4154542699417273e-08,7.617001180284671
15529,rx1,usp13,-0.00023420963,0.00023420963,0.06533671285600473,1.1848427190250954
15530,hmx3a,usp13,-0.00040474517,0.00040474517,6.924760939393516e-06,5.159595214970277
15531,six1a,usp13,-0.00034720206,0.00034720206,0.0015549120681293278,2.8082941657406746
15532,nkx2.4b,usp13,1.2880977e-05,1.2880977e-05,0.8771673636933159,0.05691753526124671
15533,en2a,usp13,-0.0008863782,0.0008863782,2.3171985447405716e-09,8.63503675292084
15534,sox9b,usp13,0.00047780568,0.00047780568,7.842952156693702e-08,7.105520434250051
15535,foxi2,usp13,-0.00059379893,0.00059379893,5.841548134938254e-06,5.233472040325961
15536,arxa,usp13,0.00060964545,0.00060964545,1.6476898553824188e-07,6.783124532184987
15537,lhx1a,usp13,-0.00025349905,0.00025349905,2.01142587820017e-05,4.696495966712788
15538,nr5a2,usp13,6.2243984e-05,6.2243984e-05,0.654018018054842,0.18441028679193905
15539,hoxc3a,usp13,0.00022267445,0.00022267445,0.004846452784336929,2.3145760139391203
15540,lhx1b,usp13,-0.0006374005,0.0006374005,2.086108449867134e-09,8.680663117791283
15541,vox,usp13,0.00082122587,0.00082122587,3.0704183491447023e-07,6.512802447211105
15542,mnx2b,usp13,2.6413904e-06,2.6413904e-06,0.9706947463858844,0.012917320867064543
15543,foxj1a,usp13,-1.4913223e-05,1.4913223e-05,0.8251453890016411,0.08346952287056138
15544,hmx2,usp13,0.0009966557,0.0009966557,2.408596570739236e-10,9.618235936313063
15545,tlx2,usp13,-0.0002818661,0.0002818661,0.033724577318684265,1.4720534847787679
15546,foxf1,usp13,-0.00026346423,0.00026346423,1.2568095847299877e-05,4.900730515922036
15547,gata5,usp13,0.00025272826,0.00025272826,0.02369925017292144,1.6252653945347968
15548,hoxd3a,usp13,-0.00016636867,0.00016636867,0.17089661025744293,0.7672665514459546
15549,sox13,usp13,0.0011332943,0.0011332943,4.362931154078454e-08,7.360221640013347
15550,arxb,usp13,0.0008333234,0.0008333234,1.0417336427008315e-09,8.982243310108064
15551,sox5,usp13,-7.567359e-05,7.567359e-05,0.4237447551841693,0.3728956641485553
15552,foxp1b,usp13,0.0015486729,0.0015486729,1.2547763318573644e-10,9.90143368175042
15553,lmx1al,usp13,-1.0439943e-05,1.0439943e-05,0.8774134140145249,0.05679573032774956
15554,lhx4,usp13,0.00018593104,0.00018593104,0.03845301302678587,1.4150696249226402
15555,nkx2.4a,usp13,-0.0008648208,0.0008648208,4.376035630764874e-06,5.358919150527099
15556,stat5a,usp13,0.00013068558,0.00013068558,0.3597855566968561,0.44395627504482926
15557,lhx9,usp13,0.0005041912,0.0005041912,8.193966070349036e-06,5.086505838709786
15558,tlx3b,usp13,0.00034689656,0.00034689656,0.0014962184727158152,2.825004987643047
15559,raraa,usp13,9.048356e-05,9.048356e-05,0.22499220544923193,0.6478325271731862
15560,bhlha15,usp13,-0.0005913935,0.0005913935,1.31024466236469e-12,11.882647600837569
15561,gata1a,usp13,0.0013792918,0.0013792918,6.200729152227692e-14,13.20755723821633
15562,en1b,usp13,1.0850713e-06,1.0850713e-06,0.990091599246322,0.004324624385301546
15563,nkx2.5,usp13,0.00012991251,0.00012991251,0.020789790270774353,1.682149891847214
15564,gsx1,usp13,-0.0005598601,0.0005598601,8.526995166686754e-06,5.0692039831855595
15565,mnx1,usp13,0.00035411477,0.00035411477,7.078309843751742e-07,6.150070430609719
15566,thrab,usp13,0.0007694094,0.0007694094,2.118242880980849e-08,7.67402424450136
15567,smad3a,usp28,-0.00011962525,0.00011962525,0.020441620488359548,1.6894846789259494
15568,uncx4.1,usp28,0.0007048211,0.0007048211,7.527237401311225e-10,9.123364386549282
15569,pax2b,usp28,0.00038359518,0.00038359518,0.0002894689410984304,3.538398027560666
15570,tead1b,usp28,0.0005676883,0.0005676883,2.68287376308901e-10,9.571399761649213
15571,esr2a,usp28,-8.497729e-05,8.497729e-05,0.07263693222681125,1.1388425062422298
15572,meis3,usp28,0.00067414436,0.00067414436,7.969822884463835e-10,9.09855132994074
15573,lhx2b,usp28,0.00026876308,0.00026876308,4.160298420281753e-05,4.380875516096016
15574,gfi1b,usp28,-0.00066318846,0.00066318846,2.433795643225013e-11,10.613715890668674
15575,klf17,usp28,0.00073826575,0.00073826575,9.218996249540724e-09,8.035316361703003
