	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
dpysl3	0	1	differentiating_neurons	enteric_neurons	unassigned
znfl1l	3	4	PSM	muscle	unassigned
lgi1b	0	1	differentiating_neurons	neural_telencephalon	unassigned
arfgap3	2	6	hatching_gland	endocrine_pancreas	unassigned
bmp6	5	3	heart_myocardium	hematopoietic_vasculature	unassigned
pkp3b	5	3	endocrine_pancreas	heart_myocardium	unassigned
epcam	3	4	epidermis	endocrine_pancreas	unassigned
nrxn3b	0	1	optic_cup	differentiating_neurons	unassigned
si:dkey-25g12.4	0	1	spinal_cord	muscle	unassigned
usta	1	0	pharyngeal_arches	notochord	unassigned
stx3a	2	6	hatching_gland	endocrine_pancreas	unassigned
cenpf	1	11	PSM	midbrain_hindbrain_boundary	unassigned
ptpn3	2	9	epidermis	endoderm	unassigned
cntnap5l	1	3	endocrine_pancreas	differentiating_neurons	unassigned
gng3	0	1	differentiating_neurons	enteric_neurons	unassigned
tspan36	0	2	neural_telencephalon	enteric_neurons	unassigned
nppc	4	2	hindbrain	neural_floor_plate	unassigned
rpl17	1	11	hematopoietic_vasculature	spinal_cord	unassigned
nbeab	1	0	hatching_gland	enteric_neurons	unassigned
aatka	7	8	neural_crest	neural	unassigned
si:dkey-188g12.1	7	8	hindbrain	neural	unassigned
si:ch211-246m6.5.1	3	4	somites	PSM	unassigned
foxo1a	2	6	hatching_gland	hematopoietic_vasculature	unassigned
emilin3a	8	10	notochord	NMPs	unassigned
pgbd5	0	1	differentiating_neurons	enteric_neurons	unassigned
bicdl1	0	1	enteric_neurons	differentiating_neurons	unassigned
slc14a2	4	7	hemangioblasts	neurons	unassigned
zgc:172323	3	4	NMPs	tail_bud	unassigned
lyve1b	4	2	notochord	NMPs	unassigned
asph	1	0	notochord	PSM	unassigned
mdga2a	0	1	enteric_neurons	hindbrain	unassigned
edar	2	9	epidermis	endocrine_pancreas	unassigned
smad3a	3	4	PSM	NMPs	unassigned
stmn2b	0	1	enteric_neurons	differentiating_neurons	unassigned
fli1b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
lman1	1	0	hatching_gland	optic_cup	unassigned
susd4	9	12	hematopoietic_vasculature	notochord	unassigned
